11153: (3210555428, -1) (0, 0) (0, 0) 
11204: (1072133487, 9) (0, 0) (0, 0) 
11210: (0, 0) (838825944, -1) (0, 0) 
11256: (4052595668, 1) (0, 0) (0, 0) 
11288: (3578997782, 2) (0, 0) (0, 0) 
11342: (0, 0) (2014308132, -1) (0, 0) 
11437: (3342654723, -1) (0, 0) (0, 0) 
11576: (0, 0) (0, 0) (3076249452, -1) 
11623: (0, 0) (0, 0) (2081736631, -1) 
11777: (814935836, -1) (0, 0) (0, 0) 
11801: (4124636711, -1) (0, 0) (0, 0) 
11808: (0, 0) (3443640446, -1) (0, 0) 
11842: (0, 0) (0, 0) (191481546, 1) 
11843: (468974356, -6) (0, 0) (0, 0) 
11936: (0, 0) (3452661543, -1) (0, 0) 
11947: (0, 0) (0, 0) (1461705346, 2) 
12205: (0, 0) (1107996423, 2) (0, 0) 
12284: (0, 0) (497021172, -2) (0, 0) 
12315: (0, 0) (0, 0) (281079580, -1) 
12357: (0, 0) (2608627980, 5) (0, 0) 
12391: (1162650740, -1) (0, 0) (0, 0) 
12396: (1324225367, 1) (0, 0) (0, 0) 
12441: (0, 0) (0, 0) (1366746185, -1) 
12462: (0, 0) (3768649082, -1) (0, 0) 
12498: (3440390180, 1) (0, 0) (0, 0) 
12613: (0, 0) (0, 0) (2936340175, -1) 
12634: (1460175645, 1) (0, 0) (0, 0) 
12742: (3327450998, 1) (0, 0) (0, 0) 
12880: (0, 0) (4251294250, 1) (0, 0) 
12920: (547228445, 5) (0, 0) (0, 0) 
12948: (508166723, 1) (0, 0) (0, 0) 
13108: (0, 0) (0, 0) (546701126, -1) 
13130: (1489201069, 2) (0, 0) (0, 0) 
13149: (0, 0) (3246156801, 1) (0, 0) 
13197: (0, 0) (2035134085, -2) (0, 0) 
13240: (0, 0) (2195993246, 3) (0, 0) 
13314: (1309213645, 1) (0, 0) (0, 0) 
13364: (0, 0) (7083634, 1) (0, 0) 
13413: (0, 0) (1976543278, -3) (0, 0) 
13479: (2006610311, -1) (0, 0) (0, 0) 
13513: (898847780, -1) (0, 0) (0, 0) 
13532: (3911449895, 1) (0, 0) (0, 0) 
13552: (0, 0) (1406374807, 2) (0, 0) 
13593: (0, 0) (514836407, 1) (0, 0) 
13596: (1985318527, 1) (0, 0) (0, 0) 
13635: (0, 0) (1512739865, 2) (0, 0) 
13698: (2446730836, 1) (0, 0) (0, 0) 
13845: (0, 0) (0, 0) (1907572263, -1) 
